Mode: Bandwidth,Shape,Preload Clear | cycles,Embedding dataloader | cycles,Embedding decoder | cycles,Embedding calculation | cycles,Dense SpMM dataloader | cycles,Dense SpMM decoder | cycles,Input | cycles,Weight | cycles,Dense SDMM PE calculation | cycles,Dense SpMM PE calculation | cycles,Total linear preprocessing cycles,Total linear preloading cycles,Total linear computation cycles,Total linear clear cycles,Total linear cycles,Total preloading cycles,Total Computation cycles,Total cycles
97281009254,"(12, 3, 197, 64)",200,19755,0,454328,2213,1584,2206,7,960,8,714,1584,19755,454328,200,455912,2221,1674,3258
103723460198,"(12, 3, 197, 64)",200,18552,0,454328,1953,1584,1947,6,960,8,714,1584,18552,454328,200,455912,1961,1674,3258
110165911142,"(12, 3, 197, 64)",200,17255,0,454328,1891,1584,1885,6,960,7,595,1584,17255,454328,200,455912,1898,1555,3139
116608362086,"(12, 3, 197, 64)",200,16646,0,397537,1829,1386,1823,6,840,7,595,1386,16646,397537,200,398923,1836,1435,2821
123050813030,"(12, 3, 197, 64)",200,15961,0,397537,1798,1386,1792,6,840,7,595,1386,15961,397537,200,398923,1805,1435,2821
129493263974,"(12, 3, 197, 64)",200,14693,0,397537,1569,1386,1564,5,840,6,595,1386,14693,397537,200,398923,1575,1435,2821
135935714918,"(12, 3, 197, 64)",200,14146,0,340746,1538,1188,1533,5,720,6,595,1188,14146,340746,200,341934,1544,1315,2503
142378165862,"(12, 3, 197, 64)",200,13684,0,340746,1507,1188,1502,5,720,6,476,1188,13684,340746,200,341934,1513,1196,2384
148820616806,"(12, 3, 197, 64)",200,13199,0,340746,1445,1188,1440,5,720,6,476,1188,13199,340746,200,341934,1451,1196,2384
155263067750,"(12, 3, 197, 64)",200,12494,0,340746,1414,1188,1409,5,720,5,476,1188,12494,340746,200,341934,1419,1196,2384
161705518694,"(12, 3, 197, 64)",200,12232,0,340746,1383,1188,1378,5,720,5,476,1188,12232,340746,200,341934,1388,1196,2384
168147969638,"(12, 3, 197, 64)",200,11778,0,283955,1383,990,1378,5,600,5,476,990,11778,283955,200,284945,1388,1076,2066
174590420582,"(12, 3, 197, 64)",200,11153,0,283955,1185,990,1181,4,600,5,476,990,11153,283955,200,284945,1190,1076,2066
181032871526,"(12, 3, 197, 64)",200,10868,0,283955,1154,990,1150,4,600,5,476,990,10868,283955,200,284945,1159,1076,2066
187475322470,"(12, 3, 197, 64)",200,10606,0,283955,1123,990,1119,4,600,5,476,990,10606,283955,200,284945,1128,1076,2066
193917773414,"(12, 3, 197, 64)",200,9963,0,283955,1123,990,1119,4,600,4,476,990,9963,283955,200,284945,1127,1076,2066
200360224358,"(12, 3, 197, 64)",200,9732,0,283955,1092,990,1088,4,600,4,476,990,9732,283955,200,284945,1096,1076,2066
206802675302,"(12, 3, 197, 64)",200,9532,0,283955,1061,990,1057,4,600,4,476,990,9532,283955,200,284945,1065,1076,2066
213245126246,"(12, 3, 197, 64)",200,9247,0,283955,1061,990,1057,4,600,4,357,990,9247,283955,200,284945,1065,957,1947
219687577190,"(12, 3, 197, 64)",200,9185,0,283955,1030,990,1026,4,600,4,357,990,9185,283955,200,284945,1034,957,1947
226130028134,"(12, 3, 197, 64)",200,8954,0,227164,1030,792,1026,4,480,4,357,792,8954,227164,200,227956,1034,837,1629
232572479078,"(12, 3, 197, 64)",200,8700,0,227164,999,792,995,4,480,4,357,792,8700,227164,200,227956,1003,837,1629
239014930022,"(12, 3, 197, 64)",200,8638,0,227164,999,792,995,4,480,4,357,792,8638,227164,200,227956,1003,837,1629
245457380966,"(12, 3, 197, 64)",200,8469,0,227164,999,792,995,4,480,4,357,792,8469,227164,200,227956,1003,837,1629
251899831910,"(12, 3, 197, 64)",200,8269,0,227164,968,792,964,4,480,4,357,792,8269,227164,200,227956,972,837,1629
258342282854,"(12, 3, 197, 64)",200,7432,0,227164,801,792,798,3,480,3,357,792,7432,227164,200,227956,804,837,1629
264784733798,"(12, 3, 197, 64)",200,7263,0,227164,801,792,798,3,480,3,357,792,7263,227164,200,227956,804,837,1629
271227184742,"(12, 3, 197, 64)",200,7201,0,227164,770,792,767,3,480,3,357,792,7201,227164,200,227956,773,837,1629
277669635686,"(12, 3, 197, 64)",200,7001,0,227164,770,792,767,3,480,3,357,792,7001,227164,200,227956,773,837,1629
284112086630,"(12, 3, 197, 64)",200,6970,0,227164,770,792,767,3,480,3,357,792,6970,227164,200,227956,773,837,1629
290554537574,"(12, 3, 197, 64)",200,6716,0,227164,739,792,736,3,480,3,357,792,6716,227164,200,227956,742,837,1629
296996988518,"(12, 3, 197, 64)",200,6685,0,227164,739,792,736,3,480,3,357,792,6685,227164,200,227956,742,837,1629
303439439462,"(12, 3, 197, 64)",200,6654,0,227164,739,792,736,3,480,3,357,792,6654,227164,200,227956,742,837,1629
309881890406,"(12, 3, 197, 64)",200,6485,0,227164,708,792,705,3,480,3,357,792,6485,227164,200,227956,711,837,1629
316324341350,"(12, 3, 197, 64)",200,6423,0,227164,708,792,705,3,480,3,357,792,6423,227164,200,227956,711,837,1629
322766792294,"(12, 3, 197, 64)",200,6423,0,227164,708,792,705,3,480,3,357,792,6423,227164,200,227956,711,837,1629
329209243238,"(12, 3, 197, 64)",200,6200,0,227164,708,792,705,3,480,3,357,792,6200,227164,200,227956,711,837,1629
335651694182,"(12, 3, 197, 64)",200,6138,0,227164,708,792,705,3,480,3,357,792,6138,227164,200,227956,711,837,1629
342094145126,"(12, 3, 197, 64)",200,6138,0,170373,677,594,674,3,360,3,357,594,6138,170373,200,170967,680,717,1311
348536596070,"(12, 3, 197, 64)",200,5938,0,170373,677,594,674,3,360,3,357,594,5938,170373,200,170967,680,717,1311
354979047014,"(12, 3, 197, 64)",200,5938,0,170373,677,594,674,3,360,3,357,594,5938,170373,200,170967,680,717,1311
361421497958,"(12, 3, 197, 64)",200,5907,0,170373,677,594,674,3,360,3,357,594,5907,170373,200,170967,680,717,1311
367863948902,"(12, 3, 197, 64)",200,5738,0,170373,677,594,674,3,360,3,357,594,5738,170373,200,170967,680,717,1311
374306399846,"(12, 3, 197, 64)",200,5707,0,170373,646,594,643,3,360,3,357,594,5707,170373,200,170967,649,717,1311
380748850790,"(12, 3, 197, 64)",200,5707,0,170373,646,594,643,3,360,3,357,594,5707,170373,200,170967,649,717,1311
387191301734,"(12, 3, 197, 64)",200,5233,0,170373,646,594,643,3,360,2,357,594,5233,170373,200,170967,648,717,1311
393633752678,"(12, 3, 197, 64)",200,5095,0,170373,646,594,643,3,360,2,357,594,5095,170373,200,170967,648,717,1311
400076203622,"(12, 3, 197, 64)",200,5064,0,170373,646,594,643,3,360,2,357,594,5064,170373,200,170967,648,717,1311
406518654566,"(12, 3, 197, 64)",200,5064,0,170373,646,594,643,3,360,2,357,594,5064,170373,200,170967,648,717,1311
412961105510,"(12, 3, 197, 64)",200,5033,0,170373,615,594,612,3,360,2,357,594,5033,170373,200,170967,617,717,1311
419403556454,"(12, 3, 197, 64)",200,5002,0,170373,615,594,612,3,360,2,357,594,5002,170373,200,170967,617,717,1311
425846007398,"(12, 3, 197, 64)",200,4864,0,170373,615,594,612,3,360,2,238,594,4864,170373,200,170967,617,598,1192
432288458342,"(12, 3, 197, 64)",200,4802,0,170373,615,594,612,3,360,2,238,594,4802,170373,200,170967,617,598,1192
438730909286,"(12, 3, 197, 64)",200,4802,0,170373,615,594,612,3,360,2,238,594,4802,170373,200,170967,617,598,1192
445173360230,"(12, 3, 197, 64)",200,4802,0,170373,615,594,612,3,360,2,238,594,4802,170373,200,170967,617,598,1192
451615811174,"(12, 3, 197, 64)",200,4771,0,170373,615,594,612,3,360,2,238,594,4771,170373,200,170967,617,598,1192
458058262118,"(12, 3, 197, 64)",200,4771,0,170373,615,594,612,3,360,2,238,594,4771,170373,200,170967,617,598,1192
464500713062,"(12, 3, 197, 64)",200,4548,0,170373,584,594,581,3,360,2,238,594,4548,170373,200,170967,586,598,1192
470943164006,"(12, 3, 197, 64)",200,4548,0,170373,584,594,581,3,360,2,238,594,4548,170373,200,170967,586,598,1192
477385614950,"(12, 3, 197, 64)",200,4517,0,170373,584,594,581,3,360,2,238,594,4517,170373,200,170967,586,598,1192
483828065894,"(12, 3, 197, 64)",200,4517,0,170373,584,594,581,3,360,2,238,594,4517,170373,200,170967,586,598,1192
490270516838,"(12, 3, 197, 64)",200,4517,0,170373,584,594,581,3,360,2,238,594,4517,170373,200,170967,586,598,1192
